,Player,Age,Team,Shot Type,FGM,FGA,FG%,X Coordinate,Y Coordinate
0,A.J. Lawson,23,DAL,Restricted Area,38,53,71.7,0,0
1,AJ Green,24,MIL,Restricted Area,6,7,85.7,0,0
2,AJ Griffin,20,ATL,Restricted Area,3,5,60.0,0,0
3,Aaron Gordon,28,DEN,Restricted Area,328,463,70.8,0,0
4,Aaron Holiday,27,HOU,Restricted Area,46,71,64.8,0,0
5,Aaron Nesmith,24,IND,Restricted Area,121,186,65.1,0,0
6,Aaron Wiggins,25,OKC,Restricted Area,120,181,66.3,0,0
7,Adam Flagler,24,OKC,Restricted Area,0,0,0.0,0,0
8,Adama Sanogo,22,CHI,Restricted Area,12,20,60.0,0,0
9,Admiral Schofield,27,ORL,Restricted Area,3,5,60.0,0,0
10,Al Horford,38,BOS,Restricted Area,77,102,75.5,0,0
11,Alec Burks,32,NYK,Restricted Area,28,65,43.1,0,0
12,Aleksej Pokusevski,22,CHA,Restricted Area,24,33,72.7,0,0
13,Alex Caruso,30,CHI,Restricted Area,81,128,63.3,0,0
14,Alex Fudge,21,DAL,Restricted Area,3,5,60.0,0,0
15,Alex Len,31,SAC,Restricted Area,36,48,75.0,0,0
16,Alondes Williams,25,MIA,Restricted Area,2,2,100.0,0,0
17,Alperen Sengun,21,HOU,Restricted Area,299,450,66.4,0,0
18,Amari Bailey,20,CHA,Restricted Area,5,9,55.6,0,0
19,Amen Thompson,21,HOU,Restricted Area,192,281,68.3,0,0
20,Amir Coffey,27,LAC,Restricted Area,50,67,74.6,0,0
21,Andre Drummond,30,CHI,Restricted Area,225,373,60.3,0,0
22,Andre Jackson Jr.,22,MIL,Restricted Area,21,31,67.7,0,0
23,Andrew Funk,24,CHI,Restricted Area,0,0,0.0,0,0
24,Andrew Nembhard,24,IND,Restricted Area,88,125,70.4,0,0
25,Andrew Wiggins,29,GSW,Restricted Area,129,206,62.6,0,0
26,Anfernee Simons,25,POR,Restricted Area,94,163,57.7,0,0
27,Anthony Black,20,ORL,Restricted Area,60,92,65.2,0,0
28,Anthony Davis,31,LAL,Restricted Area,434,576,75.3,0,0
29,Anthony Edwards,22,MIN,Restricted Area,292,423,69.0,0,0
30,Anthony Gill,31,WAS,Restricted Area,48,74,64.9,0,0
31,Armoni Brooks,26,BKN,Restricted Area,1,7,14.3,0,0
32,Ashton Hagans,24,POR,Restricted Area,16,26,61.5,0,0
33,Ausar Thompson,21,DET,Restricted Area,154,235,65.5,0,0
34,Austin Reaves,26,LAL,Restricted Area,160,215,74.4,0,0
35,Ayo Dosunmu,24,CHI,Restricted Area,169,267,63.3,0,0
36,Bam Adebayo,26,MIA,Restricted Area,213,313,68.1,0,0
37,Ben Sheppard,22,IND,Restricted Area,33,50,66.0,0,0
38,Ben Simmons,27,BKN,Restricted Area,38,54,70.4,0,0
39,Bennedict Mathurin,22,IND,Restricted Area,125,235,53.2,0,0
40,Bilal Coulibaly,19,WAS,Restricted Area,103,163,63.2,0,0
41,Bismack Biyombo,31,OKC,Restricted Area,49,73,67.1,0,0
42,Blake Wesley,21,SAS,Restricted Area,65,110,59.1,0,0
43,Boban Marjanovic,35,HOU,Restricted Area,13,16,81.3,0,0
44,Bobby Portis,29,MIL,Restricted Area,154,228,67.5,0,0
45,Bogdan Bogdanovic,31,ATL,Restricted Area,95,177,53.7,0,0
46,Bojan Bogdanovic,35,NYK,Restricted Area,67,114,58.8,0,0
47,Bol Bol,24,PHX,Restricted Area,29,32,90.6,0,0
48,Bones Hyland,23,LAC,Restricted Area,29,50,58.0,0,0
49,Bradley Beal,31,PHX,Restricted Area,144,207,69.6,0,0
